key,text,region,cityname,citytype,district,street,bldnum,bldlist
11,"11:00-17:00Նոր Նորքի 2-րդ զանգված՝ Թոթովենցի փողոց 11/2, 13, 15 շենքեր, Մոլդովական փողոց 4/2, 6, 6/1, 8, 8/1, 10, 10/1, 12, 14 շենքեր, «Յուքոմ» ՓԲԸ, «Ռեզպրո» ՍՊԸ և հարակից ոչ բնակիչ-բաժանորդներ,",Երևան,Երևան,քաղաք,Նոր Նորք,Թոթովենցի փողոց,,"11/2, 13, 15"
12,Երևանի Շենգավիթ վարչական շրջան՝,Երևան,Երևան,քաղաք,Շենգավիթ,,,
13,"10:00-16:00Մայիսի 9-ի փողոց 3, 5, 7, 9, 9/1 շենքեր, Վերին Շենգավիթ 6-րդ փողոցի առանձնատներ և հարակից ոչ բնակիչ-բաժանորդներ,",Երևան,Երևան,քաղաք,Շենգավիթ,Վերին Շենգավիթ 6-րդ փողոց,,
13,"10:00-16:00Մայիսի 9-ի փողոց 3, 5, 7, 9, 9/1 շենքեր, Վերին Շենգավիթ 6-րդ փողոցի առանձնատներ և հարակից ոչ բնակիչ-բաժանորդներ,",Երևան,Երևան,քաղաք,Շենգավիթ,Մայիսի 9-ի փողոց,,"3, 5, 7, 9, 9/1"
14,Երևանի Ավան վարչական շրջան՝,Երևան,Երևան,քաղաք,Ավան,,,
15,"11:00-14:00Ավան` Իսահակյան թաղամաս 1/1, 1/2, 1/3, 2/1, 2/2, 2/3, 3/1, 3/2, 3/3, 4, 5, 5/5, 45 շենքեր, Թումանյան թաղամաս 6/1, 6/2, 6/3, 7/1, 7/2, 8, 9, 10, 11, 12/1, 12/2, 13/1, 13/2, 13/3 շենքեր, Քուչակ թաղամաս 14-23, 47-49 շենքեր, Ա. Հովհաննիսյան թաղամաս 24/1-29, 50 շենքեր, Նարեկացի թաղամաս 1Ա, 1Բ, 30-44, 54 շենքեր, թիվ 1 մարզադպրոց, թիվ 170 և 171 դպրոցներ, թիվ 3 մսուր-մանկապարտեզ, Ոստիկանության Ավանի բաժանմունքի շենք, հարակից տարածքների առանձնատներ և ոչ բնակիչ-բաժանորդներ,",Երևան,Երևան,քաղաք,Ավան,Քուչակ թաղամաս,,"14-23, 47-49"
15,"11:00-14:00Ավան` Իսահակյան թաղամաս 1/1, 1/2, 1/3, 2/1, 2/2, 2/3, 3/1, 3/2, 3/3, 4, 5, 5/5, 45 շենքեր, Թումանյան թաղամաս 6/1, 6/2, 6/3, 7/1, 7/2, 8, 9, 10, 11, 12/1, 12/2, 13/1, 13/2, 13/3 շենքեր, Քուչակ թաղամաս 14-23, 47-49 շենքեր, Ա. Հովհաննիսյան թաղամաս 24/1-29, 50 շենքեր, Նարեկացի թաղամաս 1Ա, 1Բ, 30-44, 54 շենքեր, թիվ 1 մարզադպրոց, թիվ 170 և 171 դպրոցներ, թիվ 3 մսուր-մանկապարտեզ, Ոստիկանության Ավանի բաժանմունքի շենք, հարակից տարածքների առանձնատներ և ոչ բնակիչ-բաժանորդներ,",Երևան,Երևան,քաղաք,Ավան,Իսահակյան թաղամաս,,"1/1, 1/2, 1/3, 2/1, 2/2, 2/3, 3/1, 3/2, 3/3, 4, 5, 5/5, 45"
15,"11:00-14:00Ավան` Իսահակյան թաղամաս 1/1, 1/2, 1/3, 2/1, 2/2, 2/3, 3/1, 3/2, 3/3, 4, 5, 5/5, 45 շենքեր, Թումանյան թաղամաս 6/1, 6/2, 6/3, 7/1, 7/2, 8, 9, 10, 11, 12/1, 12/2, 13/1, 13/2, 13/3 շենքեր, Քուչակ թաղամաս 14-23, 47-49 շենքեր, Ա. Հովհաննիսյան թաղամաս 24/1-29, 50 շենքեր, Նարեկացի թաղամաս 1Ա, 1Բ, 30-44, 54 շենքեր, թիվ 1 մարզադպրոց, թիվ 170 և 171 դպրոցներ, թիվ 3 մսուր-մանկապարտեզ, Ոստիկանության Ավանի բաժանմունքի շենք, հարակից տարածքների առանձնատներ և ոչ բնակիչ-բաժանորդներ,",Երևան,Երևան,քաղաք,Ավան,Թումանյան թաղամաս,,"6/1, 6/2, 6/3, 7/1, 7/2, 8, 9, 10, 11, 12/1, 13/1, 13/2, 13/3"
15,"11:00-14:00Ավան` Իսահակյան թաղամաս 1/1, 1/2, 1/3, 2/1, 2/2, 2/3, 3/1, 3/2, 3/3, 4, 5, 5/5, 45 շենքեր, Թումանյան թաղամաս 6/1, 6/2, 6/3, 7/1, 7/2, 8, 9, 10, 11, 12/1, 12/2, 13/1, 13/2, 13/3 շենքեր, Քուչակ թաղամաս 14-23, 47-49 շենքեր, Ա. Հովհաննիսյան թաղամաս 24/1-29, 50 շենքեր, Նարեկացի թաղամաս 1Ա, 1Բ, 30-44, 54 շենքեր, թիվ 1 մարզադպրոց, թիվ 170 և 171 դպրոցներ, թիվ 3 մսուր-մանկապարտեզ, Ոստիկանության Ավանի բաժանմունքի շենք, հարակից տարածքների առանձնատներ և ոչ բնակիչ-բաժանորդներ,",Երևան,Երևան,քաղաք,Ավան,Հովհաննիսյան թաղամաս,,"50, 24/1-29"
15,"11:00-14:00Ավան` Իսահակյան թաղամաս 1/1, 1/2, 1/3, 2/1, 2/2, 2/3, 3/1, 3/2, 3/3, 4, 5, 5/5, 45 շենքեր, Թումանյան թաղամաս 6/1, 6/2, 6/3, 7/1, 7/2, 8, 9, 10, 11, 12/1, 12/2, 13/1, 13/2, 13/3 շենքեր, Քուչակ թաղամաս 14-23, 47-49 շենքեր, Ա. Հովհաննիսյան թաղամաս 24/1-29, 50 շենքեր, Նարեկացի թաղամաս 1Ա, 1Բ, 30-44, 54 շենքեր, թիվ 1 մարզադպրոց, թիվ 170 և 171 դպրոցներ, թիվ 3 մսուր-մանկապարտեզ, Ոստիկանության Ավանի բաժանմունքի շենք, հարակից տարածքների առանձնատներ և ոչ բնակիչ-բաժանորդներ,",Երևան,Երևան,քաղաք,Ավան,Նարեկացի թաղամաս,,"1Ա, 1Բ, 54, 30-44"
16,Արմավիրի մարզ՝,Արմավիրի մարզ,,,,,,
17,"11:00-15:00Արգավանդ, Տանձուտ և Փշատավան գյուղեր մասնակի,",Արարատի մարզ,Արգավանդ,գյուղ,,,,
17,"11:00-15:00Արգավանդ, Տանձուտ և Փշատավան գյուղեր մասնակի,",Արմավիրի մարզ,Տանձուտ,գյուղ,,,,
17,"11:00-15:00Արգավանդ, Տանձուտ և Փշատավան գյուղեր մասնակի,",Արարատի մարզ,Փշատավան,գյուղ,,,,
18,Արագածոտնի մարզ՝,Արագածոտնի մարզ,,,,,,
19,"11:00-12:00Վարդենիս, Կայք, Չքնաղ, Թթուջուր, Ձորագլուխ, Սարալանջ և Լուսագլուխ գյուղեր,",Արագածոտնի մարզ,Ձորագլուխ,գյուղ,,,,
19,"11:00-12:00Վարդենիս, Կայք, Չքնաղ, Թթուջուր, Ձորագլուխ, Սարալանջ և Լուսագլուխ գյուղեր,",Արագածոտնի մարզ,Վարդենիս,գյուղ,,,,
19,"11:00-12:00Վարդենիս, Կայք, Չքնաղ, Թթուջուր, Ձորագլուխ, Սարալանջ և Լուսագլուխ գյուղեր,",Արագածոտնի մարզ,Կայք,գյուղ,,,,
19,"11:00-12:00Վարդենիս, Կայք, Չքնաղ, Թթուջուր, Ձորագլուխ, Սարալանջ և Լուսագլուխ գյուղեր,",Արագածոտնի մարզ,Չքնաղ,գյուղ,,,,
19,"11:00-12:00Վարդենիս, Կայք, Չքնաղ, Թթուջուր, Ձորագլուխ, Սարալանջ և Լուսագլուխ գյուղեր,",Արագածոտնի մարզ,Թթուջուր,գյուղ,,,,
19,"11:00-12:00Վարդենիս, Կայք, Չքնաղ, Թթուջուր, Ձորագլուխ, Սարալանջ և Լուսագլուխ գյուղեր,",Արագածոտնի մարզ,Սարալանջ,գյուղ,,,,
19,"11:00-12:00Վարդենիս, Կայք, Չքնաղ, Թթուջուր, Ձորագլուխ, Սարալանջ և Լուսագլուխ գյուղեր,",Արագածոտնի մարզ,Լուսագլուխ,գյուղ,,,,
21,"10:00-17:00Ոսկետափ, Արալեզ գյուղեր մասնակի,",Արարատի մարզ,Արալեզ,գյուղ,,,,
21,"10:00-17:00Ոսկետափ, Արալեզ գյուղեր մասնակի,",Արարատի մարզ,Ոսկետափ,գյուղ,,,,
22,"11:00-15:30Ազատավան գյուղ մասնակի,",Արարատի մարզ,Ազատավան,գյուղ,,,,
23,"11:00-13:00Մասիս քաղաք՝ Նոր թաղամաս մասնակի, Մարմարաշեն, Դիմիտրով, Մասիս, Բաղրամյան, Բուրաստան, Բյուրավան, Բերքանուշ, Դալար, Մրգավան, Ջրահովիտ և Արևաբույր գյուղեր մասնակի,",Արարատի մարզ,Մասիս,քաղաք,,Նոր թաղամաս,,
23,"11:00-13:00Մասիս քաղաք՝ Նոր թաղամաս մասնակի, Մարմարաշեն, Դիմիտրով, Մասիս, Բաղրամյան, Բուրաստան, Բյուրավան, Բերքանուշ, Դալար, Մրգավան, Ջրահովիտ և Արևաբույր գյուղեր մասնակի,",Արարատի մարզ,Մարմարաշեն,գյուղ,,,,
23,"11:00-13:00Մասիս քաղաք՝ Նոր թաղամաս մասնակի, Մարմարաշեն, Դիմիտրով, Մասիս, Բաղրամյան, Բուրաստան, Բյուրավան, Բերքանուշ, Դալար, Մրգավան, Ջրահովիտ և Արևաբույր գյուղեր մասնակի,",Արարատի մարզ,Դիմիտրով,գյուղ,,,,
23,"11:00-13:00Մասիս քաղաք՝ Նոր թաղամաս մասնակի, Մարմարաշեն, Դիմիտրով, Մասիս, Բաղրամյան, Բուրաստան, Բյուրավան, Բերքանուշ, Դալար, Մրգավան, Ջրահովիտ և Արևաբույր գյուղեր մասնակի,",Արարատի մարզ,Մասիս,գյուղ,,,,
23,"11:00-13:00Մասիս քաղաք՝ Նոր թաղամաս մասնակի, Մարմարաշեն, Դիմիտրով, Մասիս, Բաղրամյան, Բուրաստան, Բյուրավան, Բերքանուշ, Դալար, Մրգավան, Ջրահովիտ և Արևաբույր գյուղեր մասնակի,",Արարատի մարզ,Բաղրամյան,գյուղ,,,,
23,"11:00-13:00Մասիս քաղաք՝ Նոր թաղամաս մասնակի, Մարմարաշեն, Դիմիտրով, Մասիս, Բաղրամյան, Բուրաստան, Բյուրավան, Բերքանուշ, Դալար, Մրգավան, Ջրահովիտ և Արևաբույր գյուղեր մասնակի,",Արարատի մարզ,Բուրաստան,գյուղ,,,,
23,"11:00-13:00Մասիս քաղաք՝ Նոր թաղամաս մասնակի, Մարմարաշեն, Դիմիտրով, Մասիս, Բաղրամյան, Բուրաստան, Բյուրավան, Բերքանուշ, Դալար, Մրգավան, Ջրահովիտ և Արևաբույր գյուղեր մասնակի,",Արարատի մարզ,Բյուրավան,գյուղ,,,,
23,"11:00-13:00Մասիս քաղաք՝ Նոր թաղամաս մասնակի, Մարմարաշեն, Դիմիտրով, Մասիս, Բաղրամյան, Բուրաստան, Բյուրավան, Բերքանուշ, Դալար, Մրգավան, Ջրահովիտ և Արևաբույր գյուղեր մասնակի,",Արարատի մարզ,Բերքանուշ,գյուղ,,,,
23,"11:00-13:00Մասիս քաղաք՝ Նոր թաղամաս մասնակի, Մարմարաշեն, Դիմիտրով, Մասիս, Բաղրամյան, Բուրաստան, Բյուրավան, Բերքանուշ, Դալար, Մրգավան, Ջրահովիտ և Արևաբույր գյուղեր մասնակի,",Արարատի մարզ,Դալար,գյուղ,,,,
23,"11:00-13:00Մասիս քաղաք՝ Նոր թաղամաս մասնակի, Մարմարաշեն, Դիմիտրով, Մասիս, Բաղրամյան, Բուրաստան, Բյուրավան, Բերքանուշ, Դալար, Մրգավան, Ջրահովիտ և Արևաբույր գյուղեր մասնակի,",Արարատի մարզ,Մրգավան,գյուղ,,,,
23,"11:00-13:00Մասիս քաղաք՝ Նոր թաղամաս մասնակի, Մարմարաշեն, Դիմիտրով, Մասիս, Բաղրամյան, Բուրաստան, Բյուրավան, Բերքանուշ, Դալար, Մրգավան, Ջրահովիտ և Արևաբույր գյուղեր մասնակի,",Արարատի մարզ,Ջրահովիտ,գյուղ,,,,
23,"11:00-13:00Մասիս քաղաք՝ Նոր թաղամաս մասնակի, Մարմարաշեն, Դիմիտրով, Մասիս, Բաղրամյան, Բուրաստան, Բյուրավան, Բերքանուշ, Դալար, Մրգավան, Ջրահովիտ և Արևաբույր գյուղեր մասնակի,",Արարատի մարզ,Արևաբույր,գյուղ,,,,
24,"11:00-14:00Վեդի քաղաք՝ Կոմիտասի, Ա․Սիմոնյան, Կասյան, Ավդալյան, Բազոյան, Գասպարյան, Մելքոնյան, Պուշկինի, Արարատյան, Արցախի, Շիրազի փողոցներ մասնակի, Խոր Վիրապ և Արարատ գյուղեր մասնակի,",Արարատի մարզ,Արարատ,գյուղ,,,,
24,"11:00-14:00Վեդի քաղաք՝ Կոմիտասի, Ա․Սիմոնյան, Կասյան, Ավդալյան, Բազոյան, Գասպարյան, Մելքոնյան, Պուշկինի, Արարատյան, Արցախի, Շիրազի փողոցներ մասնակի, Խոր Վիրապ և Արարատ գյուղեր մասնակի,",Արարատի մարզ,Վեդի,քաղաք,,Կոմիտաս փողոց,,
24,"11:00-14:00Վեդի քաղաք՝ Կոմիտասի, Ա․Սիմոնյան, Կասյան, Ավդալյան, Բազոյան, Գասպարյան, Մելքոնյան, Պուշկինի, Արարատյան, Արցախի, Շիրազի փողոցներ մասնակի, Խոր Վիրապ և Արարատ գյուղեր մասնակի,",Արարատի մարզ,Վեդի,քաղաք,,Ա. Սիմոնյան փողոց,,
24,"11:00-14:00Վեդի քաղաք՝ Կոմիտասի, Ա․Սիմոնյան, Կասյան, Ավդալյան, Բազոյան, Գասպարյան, Մելքոնյան, Պուշկինի, Արարատյան, Արցախի, Շիրազի փողոցներ մասնակի, Խոր Վիրապ և Արարատ գյուղեր մասնակի,",Արարատի մարզ,Վեդի,քաղաք,,Կասյան փողոց,,
24,"11:00-14:00Վեդի քաղաք՝ Կոմիտասի, Ա․Սիմոնյան, Կասյան, Ավդալյան, Բազոյան, Գասպարյան, Մելքոնյան, Պուշկինի, Արարատյան, Արցախի, Շիրազի փողոցներ մասնակի, Խոր Վիրապ և Արարատ գյուղեր մասնակի,",Արարատի մարզ,Վեդի,քաղաք,,Ավդալյան փողոց,,
24,"11:00-14:00Վեդի քաղաք՝ Կոմիտասի, Ա․Սիմոնյան, Կասյան, Ավդալյան, Բազոյան, Գասպարյան, Մելքոնյան, Պուշկինի, Արարատյան, Արցախի, Շիրազի փողոցներ մասնակի, Խոր Վիրապ և Արարատ գյուղեր մասնակի,",Արարատի մարզ,Վեդի,քաղաք,,Բազոյան փողոց,,
24,"11:00-14:00Վեդի քաղաք՝ Կոմիտասի, Ա․Սիմոնյան, Կասյան, Ավդալյան, Բազոյան, Գասպարյան, Մելքոնյան, Պուշկինի, Արարատյան, Արցախի, Շիրազի փողոցներ մասնակի, Խոր Վիրապ և Արարատ գյուղեր մասնակի,",Արարատի մարզ,Վեդի,քաղաք,,Գասպարյան փողոց,,
24,"11:00-14:00Վեդի քաղաք՝ Կոմիտասի, Ա․Սիմոնյան, Կասյան, Ավդալյան, Բազոյան, Գասպարյան, Մելքոնյան, Պուշկինի, Արարատյան, Արցախի, Շիրազի փողոցներ մասնակի, Խոր Վիրապ և Արարատ գյուղեր մասնակի,",Արարատի մարզ,Վեդի,քաղաք,,Մելքոնյան փողոց,,
24,"11:00-14:00Վեդի քաղաք՝ Կոմիտասի, Ա․Սիմոնյան, Կասյան, Ավդալյան, Բազոյան, Գասպարյան, Մելքոնյան, Պուշկինի, Արարատյան, Արցախի, Շիրազի փողոցներ մասնակի, Խոր Վիրապ և Արարատ գյուղեր մասնակի,",Արարատի մարզ,Վեդի,քաղաք,,Պուշկին փողոց,,
24,"11:00-14:00Վեդի քաղաք՝ Կոմիտասի, Ա․Սիմոնյան, Կասյան, Ավդալյան, Բազոյան, Գասպարյան, Մելքոնյան, Պուշկինի, Արարատյան, Արցախի, Շիրազի փողոցներ մասնակի, Խոր Վիրապ և Արարատ գյուղեր մասնակի,",Արարատի մարզ,Վեդի,քաղաք,,Արարատյան փողոց,,
24,"11:00-14:00Վեդի քաղաք՝ Կոմիտասի, Ա․Սիմոնյան, Կասյան, Ավդալյան, Բազոյան, Գասպարյան, Մելքոնյան, Պուշկինի, Արարատյան, Արցախի, Շիրազի փողոցներ մասնակի, Խոր Վիրապ և Արարատ գյուղեր մասնակի,",Արարատի մարզ,Վեդի,քաղաք,,Արցախի փողոց,,
24,"11:00-14:00Վեդի քաղաք՝ Կոմիտասի, Ա․Սիմոնյան, Կասյան, Ավդալյան, Բազոյան, Գասպարյան, Մելքոնյան, Պուշկինի, Արարատյան, Արցախի, Շիրազի փողոցներ մասնակի, Խոր Վիրապ և Արարատ գյուղեր մասնակի,",Արարատի մարզ,Վեդի,քաղաք,,Շիրազի փողոց,,
24,"11:00-14:00Վեդի քաղաք՝ Կոմիտասի, Ա․Սիմոնյան, Կասյան, Ավդալյան, Բազոյան, Գասպարյան, Մելքոնյան, Պուշկինի, Արարատյան, Արցախի, Շիրազի փողոցներ մասնակի, Խոր Վիրապ և Արարատ գյուղեր մասնակի,",Արարատի մարզ,Խոր Վիրապ,գյուղ,,,,
25,"11:00-16:00Սիս գյուղ մասնակի,",Արարատի մարզ,Սիս,գյուղ,,,,
26,Վայոց Ձորի մարզ՝,Վայոց ձորի մարզ,,,,,,
27,"100:00-14:00Զառիթափ գյուղ մասնակի,",Վայոց ձորի մարզ,Զառիթափ,գյուղ,,,,
28,"11:00-13:30Գետափ գյուղ մասնակի,",Վայոց ձորի մարզ,Գետափ,գյուղ,,,,
29,"11:00-14:00Ջերմուկ քաղաք՝ Մելիք Ադամյան, Շահումյան փողոցներ մասնակի,",Վայոց ձորի մարզ,Ջերմուկ,քաղաք,,Մելիք Ադամյան փողոց,,
29,"11:00-14:00Ջերմուկ քաղաք՝ Մելիք Ադամյան, Շահումյան փողոցներ մասնակի,",Վայոց Ձորի մարզ,Ջերմուկ,քաղաք,,Շահումյան փողոց,,
30,Կոտայքի մարզ՝,Կոտայքի մարզ,,,,,,
31,"10:00-16:00Առինջ գյուղ մասնակի, Քասախ գյուղ մասնակի և հարակից ոչ բնակիչ-բաժանորդներ, Ուռենիների փողոց, Ռ. Սաֆարյան փողոց, Ջալալյան փողոց, Երիտասարդական փողոց, թիվ 2, 4, 5, 6, 7, 9, 11, 14, 21 փողոցներ, «Հայռուսգազարդ» ընկերություն,",Կոտայքի մարզ,Քասախ,գյուղ,,Երիտասարդական փողոց,,
31,"10:00-16:00Առինջ գյուղ մասնակի, Քասախ գյուղ մասնակի և հարակից ոչ բնակիչ-բաժանորդներ, Ուռենիների փողոց, Ռ. Սաֆարյան փողոց, Ջալալյան փողոց, Երիտասարդական փողոց, թիվ 2, 4, 5, 6, 7, 9, 11, 14, 21 փողոցներ, «Հայռուսգազարդ» ընկերություն,",Կոտայքի մարզ,Քասախ,գյուղ,,2-րդ փողոց,,
31,"10:00-16:00Առինջ գյուղ մասնակի, Քասախ գյուղ մասնակի և հարակից ոչ բնակիչ-բաժանորդներ, Ուռենիների փողոց, Ռ. Սաֆարյան փողոց, Ջալալյան փողոց, Երիտասարդական փողոց, թիվ 2, 4, 5, 6, 7, 9, 11, 14, 21 փողոցներ, «Հայռուսգազարդ» ընկերություն,",Կոտայքի մարզ,Քասախ,գյուղ,,4-րդ  փողոց,,
31,"10:00-16:00Առինջ գյուղ մասնակի, Քասախ գյուղ մասնակի և հարակից ոչ բնակիչ-բաժանորդներ, Ուռենիների փողոց, Ռ. Սաֆարյան փողոց, Ջալալյան փողոց, Երիտասարդական փողոց, թիվ 2, 4, 5, 6, 7, 9, 11, 14, 21 փողոցներ, «Հայռուսգազարդ» ընկերություն,",Կոտայքի մարզ,Քասախ,գյուղ,,5-րդ  փողոց,,
